Incident Datetime;Incident Date;Incident Time;Incident Day of Week;Report Datetime;Incident Category;Resolution;Police District ;Analysis Neighborhood;Latitude;Longitude
01/05/2024 00:00;01/05/2024;00:00;Wednesday;02/05/2024 11:33;Fraud;Open or Active;Ingleside;Excelsior;37.708866119384766;-122.42989349365234
25/03/2023 16:00;25/03/2023;16:00;Saturday;26/03/2023 17:28;Lost Property;Open or Active;Ingleside;Excelsior;37.7274574828607;-122.42730210944559
30/09/2023 11:18;30/09/2023;11:18;Saturday;30/09/2023 12:01;Other Miscellaneous;Cite or Arrest Adult;Ingleside;Excelsior;37.729859825275966;-122.43018123813609
05/08/2023 00:00;05/08/2023;00:00;Saturday;28/09/2023 09:05;Malicious Mischief;Open or Active;Ingleside;Excelsior;37.72312996239932;-122.43597688974761
30/09/2023 19:14;30/09/2023;19:14;Saturday;30/09/2023 19:45;Assault;Cite or Arrest Adult;Ingleside;Excelsior;37.72202599380391;-122.42924943984079
30/09/2023 03:07;30/09/2023;03:07;Saturday;30/09/2023 03:07;Other Miscellaneous;Cite or Arrest Adult;Ingleside;Excelsior;37.71932494469157;-122.42799346963065
30/09/2023 03:07;30/09/2023;03:07;Saturday;30/09/2023 03:07;Drug Offense;Cite or Arrest Adult;Ingleside;Excelsior;37.71932494469157;-122.42799346963065
30/09/2023 19:14;30/09/2023;19:14;Saturday;30/09/2023 19:45;Disorderly Conduct;Cite or Arrest Adult;Ingleside;Excelsior;37.72202599380391;-122.42924943984079
30/09/2023 03:07;30/09/2023;03:07;Saturday;30/09/2023 03:07;Warrant;Cite or Arrest Adult;Ingleside;Excelsior;37.71932494469157;-122.42799346963065
30/09/2023 19:14;30/09/2023;19:14;Saturday;30/09/2023 19:45;Burglary;Cite or Arrest Adult;Ingleside;Excelsior;37.72202599380391;-122.42924943984079
25/03/2023 02:00;25/03/2023;02:00;Saturday;26/03/2023 18:30;Motor Vehicle Theft;Open or Active;Ingleside;Excelsior;37.71366308072168;-122.43689432895559
25/03/2023 02:02;25/03/2023;02:02;Saturday;25/03/2023 02:07;Larceny Theft;Open or Active;Ingleside;Excelsior;37.72727721972297;-122.42312222797331
13/02/2022 20:30;13/02/2022;20:30;Sunday;13/02/2023 21:40;Larceny Theft;Open or Active;Ingleside;Excelsior;37.716593605163474;-122.43115383774915
25/03/2023 12:00;25/03/2023;12:00;Saturday;26/03/2023 18:39;Burglary;Open or Active;Ingleside;Excelsior;37.7300213924819;-122.4283280014735
11/02/2023 13:00;11/02/2023;13:00;Saturday;13/02/2023 14:22;Larceny Theft;Open or Active;Ingleside;Excelsior;37.72532256101852;-122.42554747561172
24/03/2023 18:00;24/03/2023;18:00;Friday;25/03/2023 08:39;Larceny Theft;Open or Active;Ingleside;Excelsior;37.72928367096209;-122.42826844907457
10/02/2023 04:30;10/02/2023;04:30;Friday;10/02/2023 16:45;Larceny Theft;Open or Active;Ingleside;Excelsior;37.725395088398606;-122.42234250868593
30/09/2023 10:00;30/09/2023;10:00;Saturday;01/10/2023 16:02;Missing Person;Open or Active;Ingleside;Excelsior;37.72438236243679;-122.42530158640076
01/10/2023 15:00;01/10/2023;15:00;Sunday;01/10/2023 16:30;Malicious Mischief;Open or Active;Ingleside;Excelsior;37.72623624315635;-122.43362359230944
24/01/2023 19:58;24/01/2023;19:58;Tuesday;26/01/2023 11:00;Larceny Theft;Open or Active;Ingleside;Excelsior;37.725945407090116;-122.42413477891148
27/03/2023 19:15;27/03/2023;19:15;Monday;27/03/2023 19:29;Larceny Theft;Open or Active;Ingleside;Excelsior;37.716459544514585;-122.44101956350755
17/03/2023 12:00;17/03/2023;12:00;Friday;27/03/2023 15:30;Larceny Theft;Open or Active;Bayview;Excelsior;37.72659711465119;-122.42284047352747
11/01/2023 10:30;11/01/2023;10:30;Wednesday;13/03/2023 10:58;Fraud;Open or Active;Ingleside;Excelsior;37.708583767793925;-122.44483941360352
02/02/2023 13:24;02/02/2023;13:24;Thursday;13/02/2023 04:59;Larceny Theft;Open or Active;Ingleside;Excelsior;37.70907111391809;-122.44767389527017
21/03/2023 19:47;21/03/2023;19:47;Tuesday;27/03/2023 16:06;Fraud;Open or Active;Ingleside;Excelsior;37.718890246672544;-122.43595885582734
26/03/2023 20:28;26/03/2023;20:28;Sunday;26/03/2023 20:28;Other Miscellaneous;Open or Active;Bayview;Excelsior;37.726425417798346;-122.41840394201789
21/03/2023 19:47;21/03/2023;19:47;Tuesday;27/03/2023 16:06;Fraud;Open or Active;Ingleside;Excelsior;37.718890246672544;-122.43595885582734
27/03/2023 19:15;27/03/2023;19:15;Monday;27/03/2023 19:29;Malicious Mischief;Open or Active;Ingleside;Excelsior;37.716459544514585;-122.44101956350755
27/03/2023 20:30;27/03/2023;20:30;Monday;27/03/2023 21:40;Larceny Theft;Open or Active;Ingleside;Excelsior;37.71456719746707;-122.44266152802234
27/03/2023 16:23;27/03/2023;16:23;Monday;27/03/2023 16:23;Traffic Violation Arrest;Open or Active;Ingleside;Excelsior;37.720444910347176;-122.43478495933782
24/03/2023 10:00;24/03/2023;10:00;Friday;27/03/2023 15:46;Larceny Theft;Open or Active;Ingleside;Excelsior;37.71812520439796;-122.43435450033807
13/02/2023 07:40;13/02/2023;07:40;Monday;17/02/2023 14:06;Lost Property;Open or Active;Ingleside;Excelsior;37.724004908138426;-122.43531257120719
26/11/2022 06:00;26/11/2022;06:00;Saturday;19/02/2023 12:38;Lost Property;Open or Active;Ingleside;Excelsior;37.7223816644898;-122.43440671066068
27/03/2023 19:40;27/03/2023;19:40;Monday;27/03/2023 19:43;Non-Criminal;Open or Active;Ingleside;Excelsior;37.72116354747668;-122.43746114104351
18/02/2023 15:00;18/02/2023;15:00;Saturday;20/02/2023 13:40;Larceny Theft;Open or Active;Ingleside;Excelsior;37.71733613516429;-122.43713280987876
20/07/2021 20:00;20/07/2021;20:00;Tuesday;21/07/2021 01:11;Non-Criminal;Open or Active;Central;Financial District/South Beach;37.8013810753515;-122.4016154862511
01/07/2020 00:01;01/07/2020;00:01;Wednesday;15/12/2021 12:15;Fraud;Open or Active;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
04/09/2023 00:00;04/09/2023;00:00;Monday;29/09/2023 00:00;Larceny Theft;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
28/09/2023 20:30;28/09/2023;20:30;Thursday;29/09/2023 12:10;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.80089647618971;-122.39913024364351
29/09/2023 09:00;29/09/2023;09:00;Friday;29/09/2023 17:16;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.79129813497031;-122.40732292998459
28/09/2023 12:08;28/09/2023;12:08;Thursday;28/09/2023 12:08;Other Miscellaneous;Open or Active;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
10/06/2023 00:00;10/06/2023;00:00;Saturday;29/09/2023 00:00;Larceny Theft;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
29/09/2023 19:45;29/09/2023;19:45;Friday;29/09/2023 20:28;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.79709205264024;-122.39833314914345
10/09/2023 13:00;10/09/2023;13:00;Sunday;29/09/2023 13:55;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.7875680237141;-122.40658988465438
04/09/2023 00:00;04/09/2023;00:00;Monday;29/09/2023 00:00;Case Closure;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
11/09/2023 09:00;11/09/2023;09:00;Monday;29/09/2023 17:35;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.7976541393292;-122.40086317668752
29/09/2023 16:27;29/09/2023;16:27;Friday;29/09/2023 16:27;Malicious Mischief;Cite or Arrest Adult;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
12/11/2022 19:00;12/11/2022;19:00;Saturday;15/11/2022 10:14;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78883777870189;-122.38942894299095
22/03/2023 16:00;22/03/2023;16:00;Wednesday;22/03/2023 18:30;Weapons Carrying Etc;Cite or Arrest Adult;Central;Financial District/South Beach;37.78829319282882;-122.40840155198468
27/11/2022 02:10;27/11/2022;02:10;Sunday;27/11/2022 16:52;Larceny Theft;Open or Active;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
14/12/2022 14:00;14/12/2022;14:00;Wednesday;14/12/2022 19:57;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.80089647618971;-122.39913024364351
12/12/2022 10:45;12/12/2022;10:45;Monday;14/12/2022 12:21;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.80089647618971;-122.39913024364351
29/09/2023 08:00;29/09/2023;08:00;Friday;29/09/2023 12:42;Arson;Open or Active;Central;Financial District/South Beach;37.79323049132005;-122.3931813328012
22/01/2023 19:00;22/01/2023;19:00;Sunday;23/01/2023 10:27;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.79323049132005;-122.3931813328012
22/03/2023 16:00;22/03/2023;16:00;Wednesday;22/03/2023 18:30;Larceny Theft;Cite or Arrest Adult;Central;Financial District/South Beach;37.78829319282882;-122.40840155198468
23/03/2023 19:30;23/03/2023;19:30;Thursday;23/03/2023 19:43;Motor Vehicle Theft;Open or Active;Southern;Financial District/South Beach;37.78404443715923;-122.40371175457705
22/03/2023 10:30;22/03/2023;10:30;Wednesday;23/03/2023 17:55;Fraud;Open or Active;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
22/03/2023 21:30;22/03/2023;21:30;Wednesday;23/03/2023 00:06;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78757927640804;-122.39925504994814
25/10/2022 08:15;25/10/2022;08:15;Tuesday;07/11/2022 08:40;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78184616921501;-122.3920774505126
07/12/2022 10:00;07/12/2022;10:00;Wednesday;14/12/2022 16:20;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78923469828019;-122.39515093292349
04/03/2023 11:45;04/03/2023;11:45;Saturday;04/03/2023 18:51;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.79888096617859;-122.39869570327996
23/03/2023 13:50;23/03/2023;13:50;Thursday;23/03/2023 14:46;Non-Criminal;Open or Active;Central;Financial District/South Beach;37.7900390957152;-122.40218964667669
24/02/2023 14:00;24/02/2023;14:00;Friday;23/03/2023 07:36;Burglary;Open or Active;Southern;Financial District/South Beach;37.784774779704144;-122.39116559467018
02/03/2023 19:40;02/03/2023;19:40;Thursday;02/03/2023 23:04;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.796346859010335;-122.39695784020824
22/03/2023 16:00;22/03/2023;16:00;Wednesday;22/03/2023 18:30;Warrant;Cite or Arrest Adult;Central;Financial District/South Beach;37.78829319282882;-122.40840155198468
20/03/2023 16:03;20/03/2023;16:03;Monday;23/03/2023 07:34;Suspicious;Open or Active;Central;Financial District/South Beach;37.79350860298837;-122.39760833374864
28/10/2022 02:50;28/10/2022;02:50;Friday;29/10/2022 14:38;Lost Property;Open or Active;Southern;Financial District/South Beach;37.78898117261747;-122.39856429383492
23/10/2022 01:40;23/10/2022;01:40;Sunday;24/10/2022 13:25;Larceny Theft;Open or Active;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
18/12/2022 10:30;18/12/2022;10:30;Sunday;04/01/2023 10:42;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.79888096617859;-122.39869570327996
23/03/2023 05:20;23/03/2023;05:20;Thursday;23/03/2023 06:26;Other Miscellaneous;Open or Active;Central;Financial District/South Beach;37.78735926098589;-122.40822672700406
23/03/2023 14:40;23/03/2023;14:40;Thursday;23/03/2023 16:54;Larceny Theft;Cite or Arrest Adult;Central;Financial District/South Beach;37.78829319282882;-122.40840155198468
01/03/2023 13:00;01/03/2023;13:00;Wednesday;01/03/2023 13:58;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.79888096617859;-122.39869570327996
01/12/2022 06:00;01/12/2022;06:00;Thursday;11/12/2022 17:13;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78142288596124;-122.39261308350959
25/01/2023 11:55;25/01/2023;11:55;Wednesday;26/01/2023 13:40;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78745518601511;-122.39117965917615
23/03/2023 13:50;23/03/2023;13:50;Thursday;23/03/2023 14:46;Assault;Open or Active;Central;Financial District/South Beach;37.7900390957152;-122.40218964667669
15/11/2022 11:00;15/11/2022;11:00;Tuesday;16/11/2022 15:27;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78745518601511;-122.39117965917615
04/02/2023 20:30;04/02/2023;20:30;Saturday;05/02/2023 11:33;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.787035579181214;-122.39793239233553
23/03/2023 17:47;23/03/2023;17:47;Thursday;23/03/2023 20:18;Larceny Theft;Cite or Arrest Adult;Central;Financial District/South Beach;37.78829319282882;-122.40840155198468
27/01/2023 00:00;27/01/2023;00:00;Friday;30/01/2023 12:07;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78936926678204;-122.39185829145075
10/07/2023 12:33;10/07/2023;12:33;Monday;10/07/2023 17:22;Other Miscellaneous;Open or Active;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
20/07/2023 00:00;20/07/2023;00:00;Thursday;29/09/2023 00:00;Larceny Theft;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
28/09/2023 12:08;28/09/2023;12:08;Thursday;28/09/2023 12:08;Warrant;Open or Active;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
30/08/2023 00:00;30/08/2023;00:00;Wednesday;29/09/2023 00:00;Burglary;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
17/08/2023 00:00;17/08/2023;00:00;Thursday;29/09/2023 00:00;Larceny Theft;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
30/08/2023 00:00;30/08/2023;00:00;Wednesday;29/09/2023 00:00;Larceny Theft;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
14/09/2023 16:30;14/09/2023;16:30;Thursday;14/09/2023 16:44;Assault;Exceptional Adult;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
14/09/2023 16:30;14/09/2023;16:30;Thursday;14/09/2023 16:44;Case Closure;Exceptional Adult;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
17/08/2023 00:00;17/08/2023;00:00;Thursday;29/09/2023 00:00;Case Closure;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
29/09/2023 20:46;29/09/2023;20:46;Friday;29/09/2023 20:46;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.789332651592396;-122.39703479662292
10/06/2023 00:00;10/06/2023;00:00;Saturday;29/09/2023 00:00;Case Closure;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
17/08/2023 00:00;17/08/2023;00:00;Thursday;29/09/2023 00:00;Burglary;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
20/07/2023 00:00;20/07/2023;00:00;Thursday;29/09/2023 00:00;Burglary;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
29/09/2023 10:30;29/09/2023;10:30;Friday;29/09/2023 15:52;Non-Criminal;Open or Active;Central;Financial District/South Beach;37.78829319282882;-122.40840155198468
30/08/2023 00:00;30/08/2023;00:00;Wednesday;29/09/2023 00:00;Case Closure;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
20/07/2023 00:00;20/07/2023;00:00;Thursday;29/09/2023 00:00;Case Closure;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
23/09/2023 01:15;23/09/2023;01:15;Saturday;29/09/2023 04:40;Assault;Open or Active;Central;Financial District/South Beach;37.80045855856186;-122.40142824690251
04/09/2023 00:00;04/09/2023;00:00;Monday;29/09/2023 00:00;Burglary;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
10/06/2023 00:00;10/06/2023;00:00;Saturday;29/09/2023 00:00;Burglary;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78976259679856;-122.3975744697393
27/09/2023 11:21;27/09/2023;11:21;Wednesday;27/09/2023 11:21;Non-Criminal;Open or Active;Southern;Financial District/South Beach;37.787717614296156;-122.39500784294518
02/05/2024 08:00;02/05/2024;08:00;Thursday;02/05/2024 17:31;Motor Vehicle Theft;Open or Active;Southern;Financial District/South Beach;37.78554153442383;-122.3967056274414
02/05/2024 11:18;02/05/2024;11:18;Thursday;02/05/2024 11:57;Assault;Cite or Arrest Adult;Southern;Financial District/South Beach;37.78512191772461;-122.40350341796875
24/03/2023 15:30;24/03/2023;15:30;Friday;24/03/2023 17:09;Other Miscellaneous;Open or Active;Southern;Financial District/South Beach;37.78898117261747;-122.39856429383492
24/03/2023 19:17;24/03/2023;19:17;Friday;24/03/2023 19:27;Non-Criminal;Open or Active;Southern;Financial District/South Beach;37.78992622888631;-122.39427622920932
24/03/2023 11:00;24/03/2023;11:00;Friday;24/03/2023 11:29;Non-Criminal;Open or Active;Central;Financial District/South Beach;37.79709205264024;-122.39833314914345
23/03/2023 18:00;23/03/2023;18:00;Thursday;24/03/2023 09:27;Burglary;Open or Active;Central;Financial District/South Beach;37.79842970069638;-122.40222864084357
22/03/2023 23:19;22/03/2023;23:19;Wednesday;23/03/2023 00:25;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.798580053214444;-122.40105129412207
21/03/2023 20:30;21/03/2023;20:30;Tuesday;23/03/2023 21:07;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.79335909911544;-122.39878164850376
24/03/2023 16:57;24/03/2023;16:57;Friday;24/03/2023 16:57;Missing Person;Open or Active;Central;Financial District/South Beach;37.78943368124484;-122.40695698813221
24/03/2023 11:00;24/03/2023;11:00;Friday;24/03/2023 11:29;Non-Criminal;Open or Active;Central;Financial District/South Beach;37.79709205264024;-122.39833314914345
23/03/2023 12:19;23/03/2023;12:19;Thursday;23/03/2023 19:22;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.786615346301794;-122.40639887891692
20/03/2023 18:35;20/03/2023;18:35;Monday;22/03/2023 12:27;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.7875680237141;-122.40658988465438
22/03/2023 20:00;22/03/2023;20:00;Wednesday;23/03/2023 00:16;Malicious Mischief;Open or Active;Southern;Financial District/South Beach;37.787035579181214;-122.39793239233553
24/03/2023 13:20;24/03/2023;13:20;Friday;24/03/2023 15:48;Motor Vehicle Theft;Open or Active;Southern;Financial District/South Beach;37.784560141211806;-122.40733704162238
24/03/2023 00:44;24/03/2023;00:44;Friday;24/03/2023 00:59;Assault;Open or Active;Southern;Financial District/South Beach;37.78853592966637;-122.39603476680188
24/03/2023 00:44;24/03/2023;00:44;Friday;24/03/2023 00:59;Lost Property;Open or Active;Southern;Financial District/South Beach;37.78853592966637;-122.39603476680188
23/03/2023 21:38;23/03/2023;21:38;Thursday;23/03/2023 22:44;Missing Person;Open or Active;Southern;Financial District/South Beach;37.78813450138674;-122.39031948501302
21/03/2023 18:35;21/03/2023;18:35;Tuesday;22/03/2023 10:48;Lost Property;Open or Active;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
24/03/2023 09:31;24/03/2023;09:31;Friday;24/03/2023 11:33;Recovered Vehicle;Open or Active;Central;Financial District/South Beach;37.798580053214444;-122.40105129412207
26/04/2024 19:26;26/04/2024;19:26;Friday;02/05/2024 19:05;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.79447937011719;-122.39474487304688
19/03/2024 00:00;19/03/2024;00:00;Tuesday;02/05/2024 12:13;Missing Person;Open or Active;Central;Financial District/South Beach;37.79080581665039;-122.40367126464844
02/04/2024 13:19;02/04/2024;13:19;Tuesday;02/05/2024 13:42;Fraud;Open or Active;Central;Financial District/South Beach;37.78849792480469;-122.40676879882812
02/05/2024 16:20;02/05/2024;16:20;Thursday;02/05/2024 16:23;Disorderly Conduct;Open or Active;Central;Financial District/South Beach;37.79423141479492;-122.39326477050781
02/05/2024 09:20;02/05/2024;09:20;Thursday;02/05/2024 11:26;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.789764404296875;-122.39757537841797
30/09/2023 14:06;30/09/2023;14:06;Saturday;30/09/2023 15:30;Other Miscellaneous;Cite or Arrest Adult;Central;Financial District/South Beach;37.785491559268934;-122.40785252141461
30/09/2023 08:00;30/09/2023;08:00;Saturday;30/09/2023 18:24;Non-Criminal;Open or Active;Central;Financial District/South Beach;37.7875680237141;-122.40658988465438
30/09/2023 15:30;30/09/2023;15:30;Saturday;30/09/2023 15:32;Assault;Open or Active;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
30/09/2023 03:30;30/09/2023;03:30;Saturday;30/09/2023 03:52;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
29/09/2023 18:12;29/09/2023;18:12;Friday;29/09/2023 18:15;Robbery;Open or Active;Central;Financial District/South Beach;37.79377985665411;-122.40295736135474
30/09/2023 17:20;30/09/2023;17:20;Saturday;30/09/2023 17:36;Other Miscellaneous;Open or Active;Southern;Financial District/South Beach;37.79323049132005;-122.3931813328012
17/09/2023 07:03;17/09/2023;07:03;Sunday;20/09/2023 18:01;Malicious Mischief;Open or Active;Southern;Financial District/South Beach;37.78745518601511;-122.39117965917615
30/09/2023 09:50;30/09/2023;09:50;Saturday;30/09/2023 10:25;Non-Criminal;Open or Active;Central;Financial District/South Beach;37.79335909911544;-122.39878164850376
16/09/2023 01:00;16/09/2023;01:00;Saturday;17/09/2023 17:28;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.786472337124636;-122.39344473448949
28/09/2023 09:00;28/09/2023;09:00;Thursday;30/09/2023 17:10;Lost Property;Open or Active;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
20/09/2023 08:00;20/09/2023;08:00;Wednesday;20/09/2023 19:12;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.790612669467755;-122.39340794016304
30/09/2023 15:45;30/09/2023;15:45;Saturday;30/09/2023 15:53;Robbery;Open or Active;Central;Financial District/South Beach;37.79458821565897;-122.39658591411781
29/07/2023 02:29;29/07/2023;02:29;Saturday;19/09/2023 13:55;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.786851765708995;-122.3939209435326
30/09/2023 01:30;30/09/2023;01:30;Saturday;30/09/2023 01:47;Assault;Cite or Arrest Adult;Central;Financial District/South Beach;37.78829319282882;-122.40840155198468
30/09/2023 10:25;30/09/2023;10:25;Saturday;30/09/2023 11:27;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.78869399111178;-122.40522117345618
29/09/2023 18:12;29/09/2023;18:12;Friday;29/09/2023 18:15;Other Miscellaneous;Open or Active;Central;Financial District/South Beach;37.79377985665411;-122.40295736135474
20/09/2023 11:15;20/09/2023;11:15;Wednesday;20/09/2023 19:11;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78936926678204;-122.39185829145075
19/09/2023 12:27;19/09/2023;12:27;Tuesday;19/09/2023 16:49;Fraud;Open or Active;Southern;Financial District/South Beach;37.78325923532804;-122.40270815508224
30/09/2023 00:43;30/09/2023;00:43;Saturday;30/09/2023 14:07;Burglary;Open or Active;Central;Financial District/South Beach;37.788049512519116;-122.4028365699477
30/09/2023 14:06;30/09/2023;14:06;Saturday;30/09/2023 15:30;Larceny Theft;Cite or Arrest Adult;Central;Financial District/South Beach;37.785491559268934;-122.40785252141461
21/03/2023 15:20;21/03/2023;15:20;Tuesday;21/03/2023 15:20;Recovered Vehicle;Open or Active;Southern;Financial District/South Beach;37.78245709858405;-122.3928416096496
25/03/2023 16:52;25/03/2023;16:52;Saturday;25/03/2023 17:13;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.787765494696465;-122.40504139998343
24/03/2023 16:30;24/03/2023;16:30;Friday;24/03/2023 18:55;Fraud;Open or Active;Central;Financial District/South Beach;37.788986292481376;-122.40686503276359
19/03/2023 15:15;19/03/2023;15:15;Sunday;19/03/2023 18:30;Larceny Theft;Open or Active;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
12/03/2023 17:38;12/03/2023;17:38;Sunday;22/03/2023 12:48;Larceny Theft;Open or Active;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
26/03/2023 05:15;26/03/2023;05:15;Sunday;26/03/2023 06:10;Arson;Cite or Arrest Adult;Central;Financial District/South Beach;37.79006979947905;-122.39097101886335
26/03/2023 17:22;26/03/2023;17:22;Sunday;26/03/2023 17:22;Non-Criminal;Open or Active;Central;Financial District/South Beach;37.78673056551673;-122.40458331824809
17/03/2023 18:00;17/03/2023;18:00;Friday;21/03/2023 23:05;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.787996308614986;-122.39359716503304
24/03/2023 16:30;24/03/2023;16:30;Friday;24/03/2023 18:55;Larceny Theft;Open or Active;Central;Financial District/South Beach;37.788986292481376;-122.40686503276359
11/03/2023 16:30;11/03/2023;16:30;Saturday;21/03/2023 11:31;Larceny Theft;Open or Active;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
24/03/2023 23:30;24/03/2023;23:30;Friday;25/03/2023 06:17;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.78441056823969;-122.39085672212423
25/03/2023 10:00;25/03/2023;10:00;Saturday;25/03/2023 10:49;Traffic Violation Arrest;Cite or Arrest Adult;Central;Financial District/South Beach;37.792638655548835;-122.40441842894154
26/03/2023 12:34;26/03/2023;12:34;Sunday;26/03/2023 12:40;Malicious Mischief;Cite or Arrest Adult;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
25/03/2023 20:15;25/03/2023;20:15;Saturday;26/03/2023 06:30;Motor Vehicle Theft;Open or Active;Southern;Financial District/South Beach;37.7821995438959;-122.39472956276296
26/03/2023 01:05;26/03/2023;01:05;Sunday;26/03/2023 01:05;;Open or Active;Southern;Financial District/South Beach;37.79046106747903;-122.39668969554637
16/03/2023 17:30;16/03/2023;17:30;Thursday;17/03/2023 22:22;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.786851765708995;-122.3939209435326
25/03/2023 16:00;25/03/2023;16:00;Saturday;25/03/2023 16:26;Non-Criminal;Open or Active;Southern;Financial District/South Beach;37.78420530548252;-122.39211876778192
17/03/2023 18:55;17/03/2023;18:55;Friday;18/03/2023 09:03;Larceny Theft;Open or Active;Southern;Financial District/South Beach;37.786223776271626;-122.3896366412841
25/03/2023 10:52;25/03/2023;10:52;Saturday;25/03/2023 10:58;Other Miscellaneous;Open or Active;Southern;Financial District/South Beach;37.78404443715923;-122.40371175457705
25/03/2023 10:52;25/03/2023;10:52;Saturday;25/03/2023 10:58;Other Miscellaneous;Open or Active;Southern;Financial District/South Beach;37.78404443715923;-122.40371175457705
22/03/2023 11:20;22/03/2023;11:20;Wednesday;22/03/2023 12:26;Larceny Theft;Open or Active;Tenderloin;Financial District/South Beach;37.784560141211806;-122.40733704162238
24/03/2023 15:15;24/03/2023;15:15;Friday;24/03/2023 16:25;Larceny Theft;Open or Active;Bayview;Financial District/South Beach;37.789332651592396;-122.39703479662292
26/03/2023 05:15;26/03/2023;05:15;Sunday;26/03/2023 06:10;Other Miscellaneous;Cite or Arrest Adult;Central;Financial District/South Beach;37.79006979947905;-122.39097101886335
07/03/2023 08:00;07/03/2023;08:00;Tuesday;23/03/2023 18:56;Lost Property;Open or Active;Tenderloin;Financial District/South Beach;37.78673056551673;-122.40458331824809
